id,parametroComparacion,codActividadEconomica_id,codRatio_id
1,0.550,FAA,GE
2,1.500,MIN,RDA
3,0.100,FAA,IMB
4,0.050,FAA,IMO
5,3.320,FAA,IRAF
6,3.320,FAA,IRAT
7,2.900,FAA,MDC
8,0.060,FAA,MN
9,1.270,FAA,RC
10,0.050,FAA,RCGF
11,0.200,FAA,RCT
12,1.910,FAA,RDA
13,0.100,FAA,RDAC
14,41.930,FAA,RDI
15,0.880,FAA,RE
16,1.920,FAA,REP
17,18.060,FAA,RNP
18,11.010,FAA,ROA
19,24.450,FAA,ROE
20,51.180,FAA,RPMC
21,54.540,FAA,RPMP
22,1.270,FAA,RR
23,8.700,FAA,RRCC
24,9.070,FAA,RRCP
25,8.710,FAA,RRI
26,8.810,FAA,RSI
27,0.180,FAA,RSV
28,0.850,FDP,GE
29,0.040,FDP,GP
30,1.970,FDP,IMB
31,0.400,FDP,IMO
32,1.560,FDP,IRAF
33,1.560,FDP,IRAT
34,0.370,FDP,MDC
35,0.400,FDP,MN
36,2.660,FDP,RC
37,0.850,FDP,RCGF
38,0.200,FDP,RCT
39,0.300,FDP,RDA
40,0.010,FDP,RDAC
41,12.570,FDP,RDI
42,2.600,FDP,RE
43,0.215,FDP,REP
44,25.600,FDP,RNP
45,1.000,FDP,ROA
46,27.000,FDP,ROE
47,55.610,FDP,RPMC
48,11.900,FDP,RPMP
49,2.680,FDP,RR
50,11.800,FDP,RRCC
51,12.010,FDP,RRCP
52,28.950,FDP,RRI
53,16.900,FDP,RSI
54,0.140,FDP,RSV
55,0.920,IMM,GE
56,0.240,IMM,GP
57,0.980,IMM,IMB
58,0.840,IMM,IMO
59,0.290,IMM,IRAF
60,0.320,IMM,IRAT
61,0.210,IMM,MDC
62,0.210,IMM,MN
63,1.320,IMM,RC
64,0.170,IMM,RCGF
65,0.400,IMM,RCT
66,0.080,IMM,RDA
67,0.030,IMM,RDAC
68,85.030,IMM,RDI
69,1.290,IMM,RE
70,0.388,IMM,REP
71,27.900,IMM,RNP
72,2.020,IMM,ROA
73,30.530,IMM,ROE
74,127.520,IMM,RPMC
75,12.300,IMM,RPMP
76,1.320,IMM,RR
77,8.820,IMM,RRCC
78,10.010,IMM,RRCP
79,4.500,IMM,RRI
80,19.600,IMM,RSI
81,0.210,IMM,RSV
82,0.400,FAA,GP
