id,año,valor,codCuenta_id,codEmpresa_id,codRubro_id
120,2009,4.708,11.000,AAN,ACT
121,2009,15.525,11.001,AAN,ACT
122,2009,82.654,11.002,AAN,ACT
123,2009,100.000,11.003,AAN,PAS
124,2009,90.315,11.004,AAN,UTL
125,2009,49.654,11.005,AAN,ACT
126,2009,17.346,11.006,AAN,ACT
127,2009,100.000,11.007,AAN,ACT
128,2009,92.317,11.008,AAN,PAS
129,2009,50.874,11.009,AAN,PAS
130,2009,55.260,11.011,AAN,PAS
131,2009,9.685,11.012,AAN,UTL
132,2009,100.000,11.013,AAN,UTL
133,2009,0.611,11.015,AAN,UTL
134,2009,0.403,11.016,AAN,UTL
135,2009,0.800,11.017,AAN,UTL
136,2009,0.523,11.018,AAN,UTL
137,2008,2.629,11000,UES,ACT
138,2008,7.456,11001,UES,ACT
139,2008,61.134,11002,UES,ACT
140,2008,100.000,11003,UES,PAS
141,2008,61.541,11004,UES,UTL
142,2008,40.812,11005,UES,ACT
143,2008,15.680,11006,UES,ACT
144,2008,100.000,11007,UES,ACT
145,2008,161.061,11008,UES,PAS
146,2008,73.240,11009,UES,PAS
147,2008,85.279,11010,UES,PAS
148,2008,15.462,11011,UES,UTL
149,2008,100.000,11012,UES,UTL
150,2008,3.903,11013,UES,UTL
151,2008,0.654,11014,UES,UTL
152,2008,5.351,11015,UES,UTL
153,2008,3.332,11016,UES,UTL
154,2009,5.390,11000,UES,ACT
155,2009,18.916,11001,UES,ACT
156,2009,81.871,11002,UES,ACT
157,2009,100.000,11003,UES,PAS
158,2009,83.862,11004,UES,UTL
159,2009,63.184,11005,UES,ACT
160,2009,24.090,11006,UES,ACT
161,2009,100.000,11007,UES,ACT
162,2009,87.765,11008,UES,PAS
163,2009,53.296,11009,UES,PAS
164,2009,47.605,11010,UES,PAS
165,2009,11.181,11011,UES,UTL
166,2009,100.000,11012,UES,UTL
167,2009,0.640,11013,UES,UTL
168,2009,0.396,11014,UES,UTL
169,2009,0.748,11015,UES,UTL
170,2009,0.558,11016,UES,UTL
171,2008,4.242,11.000,AAN,ACT
172,2008,17.027,11.001,AAN,ACT
173,2008,82.340,11.002,AAN,ACT
174,2008,100.000,11.003,AAN,PAS
175,2008,85.892,11.004,AAN,UTL
176,2008,51.553,11.005,AAN,ACT
177,2008,17.660,11.006,AAN,ACT
178,2008,100.000,11.007,AAN,ACT
179,2008,90.298,11.008,AAN,PAS
180,2008,51.240,11.009,AAN,PAS
181,2008,52.923,11.011,AAN,PAS
182,2008,14.108,11.012,AAN,UTL
183,2008,100.000,11.013,AAN,UTL
184,2008,3.987,11.015,AAN,UTL
185,2008,0.529,11.016,AAN,UTL
186,2008,3.987,11.017,AAN,UTL
187,2008,2.711,11.018,AAN,UTL
